observation_id,match_id,match_date,competition,stage,team,opponent,player_name,player_id_optional,side,minute,phase,game_state,x,y,end_x,end_y,possession_context,fullback_lane,fullback_behavior,support_role,transition_role,action_type,outcome,evidence_strength,clip_ref,freeze_frame_note,content_note
OBS001,WC26_SAMPLE_M1,2026-06-12,World_Cup_2026,group_stage,Sample Blue,Sample Red,Sample Right Back A,,right,14,progression,level,58.0,88.0,64.0,72.0,in_possession,half_space,inverted_support,midfield_support,none,pass,positive,3,clip_m1_0014,RB steps into right half-space beside the pivot,Sample clip — inverted step to build a central 3
OBS002,WC26_SAMPLE_M1,2026-06-12,World_Cup_2026,group_stage,Sample Blue,Sample Red,Sample Right Back A,,right,23,build_up,level,40.0,82.0,52.0,80.0,in_possession,half_space,inverted_support,third_man_option,none,reception,positive,2,clip_m1_0023,RB receives between lines as third man,Sample clip — central reception under pressure
OBS003,WC26_SAMPLE_M1,2026-06-12,World_Cup_2026,group_stage,Sample Blue,Sample Red,Sample Right Back A,,right,37,final_third,leading,78.0,90.0,88.0,84.0,in_possession,central,inverted_support,switch_receiver,none,pass,neutral,2,clip_m1_0037,RB tucks central to recycle possession,Sample clip — central recycle keeps shape
OBS004,WC26_SAMPLE_M1,2026-06-12,World_Cup_2026,group_stage,Sample Blue,Sample Red,Sample Right Back A,,right,52,rest_defense,leading,46.0,60.0,44.0,55.0,in_possession,central,rest_defense_cover,counterpress_cover,rest_defense,positioning,positive,3,clip_m1_0052,RB holds central rest-defense slot as CB steps out,Sample clip — transition insurance behind the ball
OBS005,WC26_SAMPLE_M1,2026-06-12,World_Cup_2026,group_stage,Sample Blue,Sample Red,Sample Right Back A,,right,64,defensive_transition,leading,50.0,70.0,55.0,66.0,unknown,central,recovery_run,none,cover_shadow,defensive_action,positive,2,clip_m1_0064,RB recovers inside to screen the counter,Sample clip — central cover on the break
OBS006,WC26_SAMPLE_M2,2026-06-16,World_Cup_2026,group_stage,Sample Green,Sample Gold,Sample Left Back B,,left,9,progression,level,55.0,12.0,72.0,6.0,in_possession,touchline,overlap,width_provider,none,carry,positive,3,clip_m2_0009,LB overlaps outside the winger down the flank,Sample clip — classic touchline overlap
OBS007,WC26_SAMPLE_M2,2026-06-16,World_Cup_2026,group_stage,Sample Green,Sample Gold,Sample Left Back B,,left,28,final_third,level,86.0,10.0,92.0,44.0,in_possession,touchline,crossing_action,width_provider,none,cross,neutral,2,clip_m2_0028,LB delivers from the left byline,Sample clip — early cross into the box
OBS008,WC26_SAMPLE_M2,2026-06-16,World_Cup_2026,group_stage,Sample Green,Sample Gold,Sample Left Back B,,left,41,progression,trailing,60.0,14.0,78.0,10.0,in_possession,wide_channel,progressive_carry,width_provider,none,carry,positive,3,clip_m2_0041,LB drives the wide channel past the press,Sample clip — progressive carry breaks a line
OBS009,WC26_SAMPLE_M2,2026-06-16,World_Cup_2026,group_stage,Sample Green,Sample Gold,Sample Left Back B,,left,58,final_third,trailing,84.0,18.0,90.0,40.0,in_possession,touchline,underlap,third_man_option,none,pass,positive,2,clip_m2_0058,LB underlaps inside to combine near the box,Sample clip — underlap creates a final-third option
OBS010,WC26_SAMPLE_M3,2026-06-20,World_Cup_2026,group_stage,Sample Blue,Sample Gold,Sample Left Back C,,left,17,rest_defense,level,42.0,30.0,40.0,34.0,in_possession,central,rest_defense_cover,counterpress_cover,rest_defense,positioning,positive,3,clip_m3_0017,LB narrows into a back-three rest-defense line,Sample clip — narrow rest-defense structure
OBS011,WC26_SAMPLE_M3,2026-06-20,World_Cup_2026,group_stage,Sample Blue,Sample Gold,Sample Left Back C,,left,33,defensive_transition,level,48.0,40.0,52.0,44.0,unknown,central,recovery_run,none,first_pressure,defensive_action,positive,3,clip_m3_0033,LB jumps to first pressure on the turnover,Sample clip — immediate counterpress trigger
OBS012,WC26_SAMPLE_M3,2026-06-20,World_Cup_2026,group_stage,Sample Blue,Sample Gold,Sample Left Back C,,left,49,settled_defense,trailing,35.0,28.0,38.0,30.0,out_of_possession,back_line,width_holding,none,cover_shadow,defensive_action,neutral,2,clip_m3_0049,LB holds the back line and shows inside,Sample clip — settled defensive cover
